Location,Indicator,Period,Dim1,Tooltip,IndicatorCode,FactValueForMeasure,FactValueString,FactValueUoM,FactComments,LanguageName,'Facts'[LANGUAGE_CODE],LanguageOrder,SpaceTime,TimeDimValueCode,DataSourceDimValueCode,SpatialDimValueCode,Dim1ValueCode,Dim2ValueCode,Dim3ValueCode,SlicingDimCode,SlicingDimValueCode,IsLatestYear,LatestYearLabel,FactValueNumericPrefix
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2015,Rural,3.48 [0.87-7.13],PHE_HHAIR_POP_CLEAN_FUELS,3.48,,,,English,en,1,AFG,2015,,AFG,RUR,,,,,FALSE,2015,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2014,Total,8.88 [4.79-13.86],PHE_HHAIR_POP_CLEAN_FUELS,8.88,,,,English,en,1,AFG,2014,,AFG,TOTL,,,,,FALSE,2014,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2014,Urban,6.49 [4.82-7.55],PHE_HHAIR_POP_CLEAN_FUELS,6.49,,,,English,en,1,AFG,2014,,AFG,URB,,,,,FALSE,2014,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2014,Rural,2.88 [0.75-6.07],PHE_HHAIR_POP_CLEAN_FUELS,2.88,,,,English,en,1,AFG,2014,,AFG,RUR,,,,,FALSE,2014,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2013,Total,7.97 [4.3-12.78],PHE_HHAIR_POP_CLEAN_FUELS,7.97,,,,English,en,1,AFG,2013,,AFG,TOTL,,,,,FALSE,2013,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2013,Urban,6.07 [4.49-7.12],PHE_HHAIR_POP_CLEAN_FUELS,6.07,,,,English,en,1,AFG,2013,,AFG,URB,,,,,FALSE,2013,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2013,Rural,2.37 [0.58-5.23],PHE_HHAIR_POP_CLEAN_FUELS,2.37,,,,English,en,1,AFG,2013,,AFG,RUR,,,,,FALSE,2013,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2012,Total,7.17 [3.86-11.62],PHE_HHAIR_POP_CLEAN_FUELS,7.17,,,,English,en,1,AFG,2012,,AFG,TOTL,,,,,FALSE,2012,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2012,Urban,5.72 [4.35-6.75],PHE_HHAIR_POP_CLEAN_FUELS,5.72,,,,English,en,1,AFG,2012,,AFG,URB,,,,,FALSE,2012,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2012,Rural,1.95 [0.45-4.76],PHE_HHAIR_POP_CLEAN_FUELS,1.95,,,,English,en,1,AFG,2012,,AFG,RUR,,,,,FALSE,2012,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2011,Total,6.45 [3.27-10.69],PHE_HHAIR_POP_CLEAN_FUELS,6.45,,,,English,en,1,AFG,2011,,AFG,TOTL,,,,,FALSE,2011,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2011,Urban,5.3 [3.84-6.33],PHE_HHAIR_POP_CLEAN_FUELS,5.3,,,,English,en,1,AFG,2011,,AFG,URB,,,,,FALSE,2011,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2011,Rural,1.61 [0.31-4.24],PHE_HHAIR_POP_CLEAN_FUELS,1.61,,,,English,en,1,AFG,2011,,AFG,RUR,,,,,FALSE,2011,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2010,Total,5.83 [2.9-9.92],PHE_HHAIR_POP_CLEAN_FUELS,5.83,,,,English,en,1,AFG,2010,,AFG,TOTL,,,,,FALSE,2010,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2010,Urban,4.94 [3.58-5.95],PHE_HHAIR_POP_CLEAN_FUELS,4.94,,,,English,en,1,AFG,2010,,AFG,URB,,,,,FALSE,2010,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2010,Rural,1.31 [0.21-3.52],PHE_HHAIR_POP_CLEAN_FUELS,1.31,,,,English,en,1,AFG,2010,,AFG,RUR,,,,,FALSE,2010,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2009,Total,5.27 [2.5-9.02],PHE_HHAIR_POP_CLEAN_FUELS,5.27,,,,English,en,1,AFG,2009,,AFG,TOTL,,,,,FALSE,2009,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2009,Urban,4.62 [3.31-5.61],PHE_HHAIR_POP_CLEAN_FUELS,4.62,,,,English,en,1,AFG,2009,,AFG,URB,,,,,FALSE,2009,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2009,Rural,1.05 [0.14-3.12],PHE_HHAIR_POP_CLEAN_FUELS,1.05,,,,English,en,1,AFG,2009,,AFG,RUR,,,,,FALSE,2009,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2008,Total,4.81 [2.22-8.54],PHE_HHAIR_POP_CLEAN_FUELS,4.81,,,,English,en,1,AFG,2008,,AFG,TOTL,,,,,FALSE,2008,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2008,Urban,4.28 [2.95-5.35],PHE_HHAIR_POP_CLEAN_FUELS,4.28,,,,English,en,1,AFG,2008,,AFG,URB,,,,,FALSE,2008,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2008,Rural,0.86 [0.09-2.85],PHE_HHAIR_POP_CLEAN_FUELS,0.86,,,,English,en,1,AFG,2008,,AFG,RUR,,,,,FALSE,2008,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2007,Total,4.39 [1.84-8.08],PHE_HHAIR_POP_CLEAN_FUELS,4.39,,,,English,en,1,AFG,2007,,AFG,TOTL,,,,,FALSE,2007,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2007,Urban,3.97 [2.62-5.13],PHE_HHAIR_POP_CLEAN_FUELS,3.97,,,,English,en,1,AFG,2007,,AFG,URB,,,,,FALSE,2007,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2007,Rural,0.73 [0.046-2.61],PHE_HHAIR_POP_CLEAN_FUELS,0.73,,,,English,en,1,AFG,2007,,AFG,RUR,,,,,FALSE,2007,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2006,Total,4 [1.61-7.69],PHE_HHAIR_POP_CLEAN_FUELS,4,,,,English,en,1,AFG,2006,,AFG,TOTL,,,,,FALSE,2006,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2006,Urban,3.68 [2.24-4.91],PHE_HHAIR_POP_CLEAN_FUELS,3.68,,,,English,en,1,AFG,2006,,AFG,URB,,,,,FALSE,2006,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2006,Rural,0.6 [0.026-2.31],PHE_HHAIR_POP_CLEAN_FUELS,0.6,,,,English,en,1,AFG,2006,,AFG,RUR,,,,,FALSE,2006,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2005,Total,3.58 [1.44-7.07],PHE_HHAIR_POP_CLEAN_FUELS,3.58,,,,English,en,1,AFG,2005,,AFG,TOTL,,,,,FALSE,2005,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2005,Urban,3.36 [1.93-4.69],PHE_HHAIR_POP_CLEAN_FUELS,3.36,,,,English,en,1,AFG,2005,,AFG,URB,,,,,FALSE,2005,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2005,Rural,0.46 [0.011-2.15],PHE_HHAIR_POP_CLEAN_FUELS,0.46,,,,English,en,1,AFG,2005,,AFG,RUR,,,,,FALSE,2005,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2004,Total,3.26 [1.15-6.76],PHE_HHAIR_POP_CLEAN_FUELS,3.26,,,,English,en,1,AFG,2004,,AFG,TOTL,,,,,FALSE,2004,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2004,Urban,3.07 [1.65-4.43],PHE_HHAIR_POP_CLEAN_FUELS,3.07,,,,English,en,1,AFG,2004,,AFG,URB,,,,,FALSE,2004,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2004,Rural,0.38 [0.004-1.99],PHE_HHAIR_POP_CLEAN_FUELS,0.38,,,,English,en,1,AFG,2004,,AFG,RUR,,,,,FALSE,2004,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2003,Total,2.93 [0.92-6.09],PHE_HHAIR_POP_CLEAN_FUELS,2.93,,,,English,en,1,AFG,2003,,AFG,TOTL,,,,,FALSE,2003,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2003,Urban,2.81 [1.37-4.24],PHE_HHAIR_POP_CLEAN_FUELS,2.81,,,,English,en,1,AFG,2003,,AFG,URB,,,,,FALSE,2003,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2003,Rural,0.31 [0.001-1.93],PHE_HHAIR_POP_CLEAN_FUELS,0.31,,,,English,en,1,AFG,2003,,AFG,RUR,,,,,FALSE,2003,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2002,Total,2.67 [0.78-5.91],PHE_HHAIR_POP_CLEAN_FUELS,2.67,,,,English,en,1,AFG,2002,,AFG,TOTL,,,,,FALSE,2002,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2002,Urban,2.55 [1.07-4.08],PHE_HHAIR_POP_CLEAN_FUELS,2.55,,,,English,en,1,AFG,2002,,AFG,URB,,,,,FALSE,2002,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2002,Rural,0.26 [0-1.71],PHE_HHAIR_POP_CLEAN_FUELS,0.26,,,,English,en,1,AFG,2002,,AFG,RUR,,,,,FALSE,2002,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2001,Total,2.37 [0.58-5.65],PHE_HHAIR_POP_CLEAN_FUELS,2.37,,,,English,en,1,AFG,2001,,AFG,TOTL,,,,,FALSE,2001,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2001,Urban,2.33 [0.86-3.9],PHE_HHAIR_POP_CLEAN_FUELS,2.33,,,,English,en,1,AFG,2001,,AFG,URB,,,,,FALSE,2001,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2001,Rural,0.22 [0-1.72],PHE_HHAIR_POP_CLEAN_FUELS,0.22,,,,English,en,1,AFG,2001,,AFG,RUR,,,,,FALSE,2001,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2000,Total,2.24 [0.5-5.2],PHE_HHAIR_POP_CLEAN_FUELS,2.24,,,,English,en,1,AFG,2000,,AFG,TOTL,,,,,FALSE,2000,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2000,Urban,2.14 [0.68-3.73],PHE_HHAIR_POP_CLEAN_FUELS,2.14,,,,English,en,1,AFG,2000,,AFG,URB,,,,,FALSE,2000,
Afghanistan,Population with primary reliance on clean fuels and technologies for cooking (in millions),2000,Rural,0.18 [0-1.64],PHE_HHAIR_POP_CLEAN_FUELS,0.18,,,,English,en,1,AFG,2000,,AFG,RUR,,,,,FALSE,2000,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2018,Total,2.34 [1.77-2.73],PHE_HHAIR_POP_CLEAN_FUELS,2.34,,,,English,en,1,ALB,2018,,ALB,TOTL,,,,,TRUE,Latest,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2018,Urban,1.62 [1.28-1.76],PHE_HHAIR_POP_CLEAN_FUELS,1.62,,,,English,en,1,ALB,2018,,ALB,URB,,,,,TRUE,Latest,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2018,Rural,0.72 [0.38-1],PHE_HHAIR_POP_CLEAN_FUELS,0.72,,,,English,en,1,ALB,2018,,ALB,RUR,,,,,TRUE,Latest,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2017,Total,2.3 [1.72-2.69],PHE_HHAIR_POP_CLEAN_FUELS,2.3,,,,English,en,1,ALB,2017,,ALB,TOTL,,,,,FALSE,2017,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2017,Urban,1.58 [1.25-1.73],PHE_HHAIR_POP_CLEAN_FUELS,1.58,,,,English,en,1,ALB,2017,,ALB,URB,,,,,FALSE,2017,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2017,Rural,0.72 [0.38-1],PHE_HHAIR_POP_CLEAN_FUELS,0.72,,,,English,en,1,ALB,2017,,ALB,RUR,,,,,FALSE,2017,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2016,Total,2.26 [1.68-2.66],PHE_HHAIR_POP_CLEAN_FUELS,2.26,,,,English,en,1,ALB,2016,,ALB,TOTL,,,,,FALSE,2016,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2016,Urban,1.56 [1.25-1.69],PHE_HHAIR_POP_CLEAN_FUELS,1.56,,,,English,en,1,ALB,2016,,ALB,URB,,,,,FALSE,2016,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2016,Rural,0.72 [0.37-1],PHE_HHAIR_POP_CLEAN_FUELS,0.72,,,,English,en,1,ALB,2016,,ALB,RUR,,,,,FALSE,2016,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2015,Total,2.23 [1.64-2.64],PHE_HHAIR_POP_CLEAN_FUELS,2.23,,,,English,en,1,ALB,2015,,ALB,TOTL,,,,,FALSE,2015,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2015,Urban,1.52 [1.23-1.66],PHE_HHAIR_POP_CLEAN_FUELS,1.52,,,,English,en,1,ALB,2015,,ALB,URB,,,,,FALSE,2015,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2015,Rural,0.72 [0.38-1.01],PHE_HHAIR_POP_CLEAN_FUELS,0.72,,,,English,en,1,ALB,2015,,ALB,RUR,,,,,FALSE,2015,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2014,Total,2.18 [1.59-2.6],PHE_HHAIR_POP_CLEAN_FUELS,2.18,,,,English,en,1,ALB,2014,,ALB,TOTL,,,,,FALSE,2014,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2014,Urban,1.48 [1.19-1.63],PHE_HHAIR_POP_CLEAN_FUELS,1.48,,,,English,en,1,ALB,2014,,ALB,URB,,,,,FALSE,2014,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2014,Rural,0.71 [0.38-1],PHE_HHAIR_POP_CLEAN_FUELS,0.71,,,,English,en,1,ALB,2014,,ALB,RUR,,,,,FALSE,2014,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2013,Total,2.14 [1.58-2.57],PHE_HHAIR_POP_CLEAN_FUELS,2.14,,,,English,en,1,ALB,2013,,ALB,TOTL,,,,,FALSE,2013,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2013,Urban,1.44 [1.16-1.59],PHE_HHAIR_POP_CLEAN_FUELS,1.44,,,,English,en,1,ALB,2013,,ALB,URB,,,,,FALSE,2013,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2013,Rural,0.7 [0.36-1.01],PHE_HHAIR_POP_CLEAN_FUELS,0.7,,,,English,en,1,ALB,2013,,ALB,RUR,,,,,FALSE,2013,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2012,Total,2.08 [1.47-2.51],PHE_HHAIR_POP_CLEAN_FUELS,2.08,,,,English,en,1,ALB,2012,,ALB,TOTL,,,,,FALSE,2012,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2012,Urban,1.4 [1.12-1.55],PHE_HHAIR_POP_CLEAN_FUELS,1.4,,,,English,en,1,ALB,2012,,ALB,URB,,,,,FALSE,2012,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2012,Rural,0.69 [0.32-1.01],PHE_HHAIR_POP_CLEAN_FUELS,0.69,,,,English,en,1,ALB,2012,,ALB,RUR,,,,,FALSE,2012,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2011,Total,2.03 [1.44-2.49],PHE_HHAIR_POP_CLEAN_FUELS,2.03,,,,English,en,1,ALB,2011,,ALB,TOTL,,,,,FALSE,2011,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2011,Urban,1.36 [1.07-1.52],PHE_HHAIR_POP_CLEAN_FUELS,1.36,,,,English,en,1,ALB,2011,,ALB,URB,,,,,FALSE,2011,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2011,Rural,0.67 [0.34-1.01],PHE_HHAIR_POP_CLEAN_FUELS,0.67,,,,English,en,1,ALB,2011,,ALB,RUR,,,,,FALSE,2011,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2010,Total,1.97 [1.38-2.46],PHE_HHAIR_POP_CLEAN_FUELS,1.97,,,,English,en,1,ALB,2010,,ALB,TOTL,,,,,FALSE,2010,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2010,Urban,1.32 [1.03-1.49],PHE_HHAIR_POP_CLEAN_FUELS,1.32,,,,English,en,1,ALB,2010,,ALB,URB,,,,,FALSE,2010,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2010,Rural,0.65 [0.29-0.96],PHE_HHAIR_POP_CLEAN_FUELS,0.65,,,,English,en,1,ALB,2010,,ALB,RUR,,,,,FALSE,2010,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2009,Total,1.9 [1.34-2.4],PHE_HHAIR_POP_CLEAN_FUELS,1.9,,,,English,en,1,ALB,2009,,ALB,TOTL,,,,,FALSE,2009,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2009,Urban,1.29 [1-1.46],PHE_HHAIR_POP_CLEAN_FUELS,1.29,,,,English,en,1,ALB,2009,,ALB,URB,,,,,FALSE,2009,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2009,Rural,0.62 [0.29-0.97],PHE_HHAIR_POP_CLEAN_FUELS,0.62,,,,English,en,1,ALB,2009,,ALB,RUR,,,,,FALSE,2009,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2008,Total,1.84 [1.24-2.35],PHE_HHAIR_POP_CLEAN_FUELS,1.84,,,,English,en,1,ALB,2008,,ALB,TOTL,,,,,FALSE,2008,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2008,Urban,1.25 [0.97-1.43],PHE_HHAIR_POP_CLEAN_FUELS,1.25,,,,English,en,1,ALB,2008,,ALB,URB,,,,,FALSE,2008,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2008,Rural,0.6 [0.28-0.95],PHE_HHAIR_POP_CLEAN_FUELS,0.6,,,,English,en,1,ALB,2008,,ALB,RUR,,,,,FALSE,2008,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2007,Total,1.76 [1.2-2.32],PHE_HHAIR_POP_CLEAN_FUELS,1.76,,,,English,en,1,ALB,2007,,ALB,TOTL,,,,,FALSE,2007,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2007,Urban,1.21 [0.93-1.41],PHE_HHAIR_POP_CLEAN_FUELS,1.21,,,,English,en,1,ALB,2007,,ALB,URB,,,,,FALSE,2007,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2007,Rural,0.56 [0.22-0.95],PHE_HHAIR_POP_CLEAN_FUELS,0.56,,,,English,en,1,ALB,2007,,ALB,RUR,,,,,FALSE,2007,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2006,Total,1.69 [1.1-2.27],PHE_HHAIR_POP_CLEAN_FUELS,1.69,,,,English,en,1,ALB,2006,,ALB,TOTL,,,,,FALSE,2006,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2006,Urban,1.17 [0.87-1.38],PHE_HHAIR_POP_CLEAN_FUELS,1.17,,,,English,en,1,ALB,2006,,ALB,URB,,,,,FALSE,2006,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2006,Rural,0.52 [0.2-0.92],PHE_HHAIR_POP_CLEAN_FUELS,0.52,,,,English,en,1,ALB,2006,,ALB,RUR,,,,,FALSE,2006,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2005,Total,1.6 [1.03-2.19],PHE_HHAIR_POP_CLEAN_FUELS,1.6,,,,English,en,1,ALB,2005,,ALB,TOTL,,,,,FALSE,2005,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2005,Urban,1.12 [0.83-1.35],PHE_HHAIR_POP_CLEAN_FUELS,1.12,,,,English,en,1,ALB,2005,,ALB,URB,,,,,FALSE,2005,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2005,Rural,0.48 [0.17-0.93],PHE_HHAIR_POP_CLEAN_FUELS,0.48,,,,English,en,1,ALB,2005,,ALB,RUR,,,,,FALSE,2005,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2004,Total,1.51 [0.9-2.13],PHE_HHAIR_POP_CLEAN_FUELS,1.51,,,,English,en,1,ALB,2004,,ALB,TOTL,,,,,FALSE,2004,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2004,Urban,1.07 [0.75-1.32],PHE_HHAIR_POP_CLEAN_FUELS,1.07,,,,English,en,1,ALB,2004,,ALB,URB,,,,,FALSE,2004,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2004,Rural,0.45 [0.15-0.92],PHE_HHAIR_POP_CLEAN_FUELS,0.45,,,,English,en,1,ALB,2004,,ALB,RUR,,,,,FALSE,2004,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2003,Total,1.43 [0.82-2.11],PHE_HHAIR_POP_CLEAN_FUELS,1.43,,,,English,en,1,ALB,2003,,ALB,TOTL,,,,,FALSE,2003,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2003,Urban,1.02 [0.68-1.29],PHE_HHAIR_POP_CLEAN_FUELS,1.02,,,,English,en,1,ALB,2003,,ALB,URB,,,,,FALSE,2003,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2003,Rural,0.41 [0.1-0.92],PHE_HHAIR_POP_CLEAN_FUELS,0.41,,,,English,en,1,ALB,2003,,ALB,RUR,,,,,FALSE,2003,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2002,Total,1.34 [0.72-2.03],PHE_HHAIR_POP_CLEAN_FUELS,1.34,,,,English,en,1,ALB,2002,,ALB,TOTL,,,,,FALSE,2002,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2002,Urban,0.97 [0.59-1.27],PHE_HHAIR_POP_CLEAN_FUELS,0.97,,,,English,en,1,ALB,2002,,ALB,URB,,,,,FALSE,2002,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2002,Rural,0.38 [0.082-0.9],PHE_HHAIR_POP_CLEAN_FUELS,0.38,,,,English,en,1,ALB,2002,,ALB,RUR,,,,,FALSE,2002,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2001,Total,1.28 [0.64-2.04],PHE_HHAIR_POP_CLEAN_FUELS,1.28,,,,English,en,1,ALB,2001,,ALB,TOTL,,,,,FALSE,2001,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2001,Urban,0.92 [0.52-1.23],PHE_HHAIR_POP_CLEAN_FUELS,0.92,,,,English,en,1,ALB,2001,,ALB,URB,,,,,FALSE,2001,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2001,Rural,0.34 [0.059-0.91],PHE_HHAIR_POP_CLEAN_FUELS,0.34,,,,English,en,1,ALB,2001,,ALB,RUR,,,,,FALSE,2001,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2000,Total,1.21 [0.54-1.99],PHE_HHAIR_POP_CLEAN_FUELS,1.21,,,,English,en,1,ALB,2000,,ALB,TOTL,,,,,FALSE,2000,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2000,Urban,0.88 [0.44-1.22],PHE_HHAIR_POP_CLEAN_FUELS,0.88,,,,English,en,1,ALB,2000,,ALB,URB,,,,,FALSE,2000,
Albania,Population with primary reliance on clean fuels and technologies for cooking (in millions),2000,Rural,0.31 [0.044-0.94],PHE_HHAIR_POP_CLEAN_FUELS,0.31,,,,English,en,1,ALB,2000,,ALB,RUR,,,,,FALSE,2000,
Algeria,Population with primary reliance on clean fuels and technologies for cooking (in millions),2018,Total,41.62 [37.8-42.01],PHE_HHAIR_POP_CLEAN_FUELS,41.62,,,,English,en,1,DZA,2018,,DZA,TOTL,,,,,TRUE,Latest,
Algeria,Population with primary reliance on clean fuels and technologies for cooking (in millions),2018,Urban,30.36 [27.52-30.51],PHE_HHAIR_POP_CLEAN_FUELS,30.36,,,,English,en,1,DZA,2018,,DZA,URB,,,,,TRUE,Latest,
